铵	an3
气	qi4
滴	di1
雾	wu4
珠	zhu1
操	cao1
面	mian4
头	tou2
流	liu2
走	zou3
愁	chou2
舟	zhou1
国	guo2
博	bo2
矬	cuo2
我	wo3
叫	jiao4
求	qiu2
游	you2
宙	zhou4
右	you4
久	jiu3
丘	qiu1
构	gou4
周	zhou1
纠	jiu1
沟	gou1
球	qiu2
秋	qiu1
有	you3
坡	po1
破	po4
班	ban1
年	nian2
烛	zhu2
壶	hu2
书	shu1
物	wu4
术	shu4
筒	tong3
兔	tu4
怒	nu4
如	ru2
毒	du2
布	bu4
终	zhong1
惕	ti4
七	qi1
记	ji4
饭	fan4
百	bai3
在	zai4
开	kai1
彩	cai3
待	dai4
钱	qian2
王	wang2
方	fang1
忘	wang4
域	yu4
栽	zai1
败	bai4
带	dai4
埋	mai2
摆	bai3
白	bai2
筛	shai1
海	hai3
皑	ai2
骸	hai2
排	pai2
太	tai4
蓝	lan2
炫	xuan4
船	chuan2
展	zhan3
奇	qi2
意	yi4
仪	yi2
旗	qi2
夸	kua1
坤	kun1
宸	chen2
户	hu4
键	jian4
团	tuan2
岸	an4
圆	yuan2
赞	zan4
泉	quan2
幻	huan4
繁	fan2
啖	dan4
酒	jiu3
肉	rou4
楼	lou2
秀	xiu4
后	hou4
界	jie4
学	xue2
飏	yang2
霜	shuang1
茫	mang2
石	shi2
子	zi3
箫	xiao1
厌	yan4
涵	han2
索	suo3
威	wei1
复	fu4
旧	jiu4
狗	gou3
疚	jiu4
扫	sao4
功	gong1
梦	meng4
疼	teng2
件	jian4
徊	huai2
举	ju3
徐	xu2
雨	yu3
万	wan4
词	ci2
字	zi4
响	xiang3
成	cheng2
步	bu4
场	chang3
浪	lang4
航	hang2
亮	liang4
仙	xian1
念	nian4
园	yuan2
节	jie2
雪	xue3
菜	cai4
派	pai4
男	nan2
怀	huai2
睐	lai4
载	zai3
戴	dai4
蔼	ai3
始	shi3
实	shi2
市	shi4
封	feng1
生	sheng1
呈	cheng2
霰	xian4
南	nan2
尘	chen2
深	shen1
门	men2
止	zhi3
迟	chi2
台	tai2
闻	wen2
花	hua1
罚	fa2
覆	fu4
浮	fu2
赋	fu4
录	lu4
乌	wu1
幕	mu4
涂	tu2
拂	fu2
宅	zhai2
豺	chai2
像	xiang4
仰	yang3
咣	guang1
烫	tang4
光	guang1
装	zhuang1
唱	chang4
绕	rao4
嚣	xiao1
翘	qiao2
膀	bang3
放	fang4
大	da4
镜	jing4
晴	qing2
定	ding4
明	ming2
景	jing3
师	shi1
反	fan3
判	pan4
默	mo4
漫	man4
含	han2
回	hui2
随	sui2
灰	hui1
味	wei4
会	hui4
已	yi3
体	ti3
疑	yi2
息	xi1
逢	feng2
缘	yuan2
帘	lian2
横	heng2
碰	peng4
事	shi4
持	chi2
滞	zhi4
消	xiao1
环	huan2
惯	guan4
徨	huang2
亡	wang2
往	wang3
乡	xiang1
常	chang2
阳	yang2
芳	fang1
黄	huang2
扬	yang2
向	xiang4
免	mian3
脱	tuo1
原	yuan2
帆	fan1
湾	wan1
检	jian3
然	ran2
你	ni3
忆	yi4
度	du4
跳	tiao4
笑	xiao4
刻	ke4
快	kuai4
盖	gai4
远	yuan3
渊	yuan1
眠	mian2
淡	dan4
膛	tang2
引	yin3
心	xin1
眶	kuang4
栓	shuan1
懒	lan3
短	duan3
配	pei4
入	ru4
口	kou3
钟	zhong1
农	nong2
胖	pang4
洋	yang2
棒	bang4
娘	niang2
7	qi1
毕	bi4
急	ji2
诗	shi1
思	si1
炎	yan2
挂	gua4
活	huo2
穿	chuan1
鱼	yu2
糕	gao1
包	bao1
炖	dun4
笨	ben4
失	shi1
魂	hun2
屁	pi4
嚏	ti4
克	ke4
者	zhe3
摸	mo1
果	guo3
捉	zhuo1
底	di3
里	li3
羡	xian4
米	mi3
此	ci3
惊	jing1
办	ban4
烦	fan2
是	shi4
梁	liang2
据	ju4
取	qu3
郁	yu4
听	ting1
羊	yang2
颤	chan4
落	luo4
中	zhong1
空	kong1
寂	ji4
弯	wan1
乱	luan4
半	ban4
宗	zong1
声	sheng1
睛	qing2
锋	feng1
软	ruan3
碗	wan3
科	ke1
决	jue2
对	dui4
嗑	ke1
灭	mie4
邪	xie2
攀	pan1
篇	pian1
驰	chi2
猫	mao1
妖	yao1
桌	zhuo1
锅	guo1
搁	ge1
坐	zuo4
德	de2
辙	zhe2
谔	e4
哥	ge1
窝	wo1
课	ke4
格	ge2
淌	tang3
芒	mang2
涯	ya2
起	qi3
遇	yu4
煌	huang2
啥	sha2
押	ya1
吓	xia4
哒	da1
舔	tian3
客	ke4
漠	mo4
牵	qian1
锁	suo3
岁	sui4
政	zheng4
病	bing4
样	yang4
汤	tang1
项	xiang4
川	chuan1
砖	zhuan1
饼	bing3
井	jing3
卖	mai4
爱	ai4
嫩	nen4
棍	gun4
故	gu4
洼	wa1
福	fu2
护	hu4
鞋	xie2
结	jie2
京	jing1
顶	ding3
语	yu3
咸	xian2
绵	mian2
涎	xian2
文	wen2
踪	zong1
眷	juan4
缀	zhui4
类	lei4
邃	sui4
津	jin1
裙	qun2
进	jin4
音	yin1
照	zhao4
尽	jin4
即	ji2
利	li4
新	xin1
立	li4
机	ji1
寒	han2
满	man3
犬	quan3
旦	dan4
谈	tan2
献	xian4
段	duan4
离	li2
戟	ji3
力	li4
纪	ji4
踩	cai3
坝	ba4
绘	hui4
嘿	hei1
队	dui4
最	zui4
睡	shui4
坠	zhui4
剑	jian4
甜	tian2
醇	chun2
顿	dun4
韵	yun4
缩	suo1
瓢	piao2
冒	mao4
晚	wan3
伞	san3
